ID,sex,personal_status,checking_account_status,credit_duration_months,credit_history,credit_purpose,credit_amount,savings,employed_since_years,installment_rate,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,num_existing_credits,job_status,num_people_liable_for,telephone,foreign_worker,credit_risk,age_groups
564,male,married/widowed,... < 0 DM,24,existing credits paid back duly till now,retraining,4712,.. >= 1000 DM,1 <= ... < 4 years,< 20,none,1 <= ... < 4 yrs,car or other,37,bank,rent,2-3,management/self-employed/highly qualified employee/officer,0 to 2,True,False,0,1
484,male,married/widowed,... >= 200 DM,12,all credits at this bank paid back duly,others,1163,100 <= ... < 500 DM,1 <= ... < 4 years,< 20,none,>= 7 yrs,unknown/no property,44,none,rent,1,skilled employee/official,0 to 2,True,False,0,1
26,female,single,... >= 200 DM,6,delay in paying off in the past,furniture/equipment,426,unknown/no savings account,.. >= 7 years,< 20,none,>= 7 yrs,building society savings agreement/life insurance,39,none,rent,1,unskilled - resident,0 to 2,False,False,0,1
443,male,married/widowed,... >= 200 DM,12,no credits taken/all credits paid back duly,repairs,719,unknown/no savings account,.. >= 7 years,< 20,none,>= 7 yrs,building society savings agreement/life insurance,41,bank,rent,1,unskilled - resident,3 or more,False,False,1,1
211,female/male,female (non-single) or male (single),... >= 200 DM,36,no credits taken/all credits paid back duly,furniture/equipment,3835,.. >= 1000 DM,.. >= 7 years,25 <= ... < 35,none,>= 7 yrs,unknown/no property,45,none,rent,1,unskilled - resident,0 to 2,True,False,0,1
857,male,married/widowed,... >= 200 DM,15,all credits at this bank paid back duly,car (used),3343,unknown/no savings account,1 <= ... < 4 years,< 20,none,1 <= ... < 4 yrs,real estate,28,none,own,1,skilled employee/official,0 to 2,True,False,0,1
434,male,married/widowed,no checking account,9,no credits taken/all credits paid back duly,car (used),2136,unknown/no savings account,1 <= ... < 4 years,20 <= ... < 25,none,1 <= ... < 4 yrs,unknown/no property,25,none,rent,1,skilled employee/official,0 to 2,False,False,0,1
374,female/male,female (non-single) or male (single),... < 0 DM,60,critical account/other credits existing (not at this bank),business,14782,... < 100 DM,.. >= 7 years,20 <= ... < 25,none,>= 7 yrs,real estate,60,bank,own,2-3,management/self-employed/highly qualified employee/officer,0 to 2,True,False,1,1
916,male,married/widowed,... >= 200 DM,10,no credits taken/all credits paid back duly,car (new),2848,... < 100 DM,1 <= ... < 4 years,>= 35,co-applicant,1 <= ... < 4 yrs,unknown/no property,32,none,rent,1,skilled employee/official,3 or more,False,False,0,1
51,male,married/widowed,... < 0 DM,27,existing credits paid back duly till now,car (new),5965,unknown/no savings account,.. >= 7 years,>= 35,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,30,none,rent,2-3,management/self-employed/highly qualified employee/officer,0 to 2,True,False,0,1
184,male,married/widowed,... < 0 DM,18,all credits at this bank paid back duly,others,884,unknown/no savings account,.. >= 7 years,< 20,none,>= 7 yrs,building society savings agreement/life insurance,36,bank,rent,1,skilled employee/official,3 or more,True,False,1,1
476,male,married/widowed,... >= 200 DM,39,no credits taken/all credits paid back duly,car (new),2569,100 <= ... < 500 DM,1 <= ... < 4 years,< 20,none,>= 7 yrs,building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,0 to 2,False,False,0,0
524,female/male,female (non-single) or male (single),... < 0 DM,18,no credits taken/all credits paid back duly,furniture/equipment,1113,unknown/no savings account,1 <= ... < 4 years,< 20,guarantor,>= 7 yrs,unknown/no property,26,none,rent,1,unskilled - resident,3 or more,False,False,0,1
716,male,married/widowed,... >= 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3077,.. >= 1000 DM,.. >= 7 years,20 <= ... < 25,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,40,none,rent,2-3,skilled employee/official,3 or more,True,False,0,1
927,male,married/widowed,no checking account,48,no credits taken/all credits paid back duly,car (new),10297,unknown/no savings account,4 <= ... < 7 years,< 20,none,>= 7 yrs,real estate,39,stores,own,4-5,skilled employee/official,3 or more,True,False,1,1
696,male,married/widowed,... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1103,unknown/no savings account,4 <= ... < 7 years,< 20,guarantor,4 <= ... < 7 yrs,unknown/no property,29,none,rent,2-3,skilled employee/official,0 to 2,False,True,0,1
566,male,divorced/separated,no checking account,12,no credits taken/all credits paid back duly,others,1372,unknown/no savings account,4 <= ... < 7 years,25 <= ... < 35,none,4 <= ... < 7 yrs,building society savings agreement/life insurance,36,none,rent,1,skilled employee/official,0 to 2,False,False,1,1
601,female/male,female (non-single) or male (single),... < 0 DM,9,no credits taken/all credits paid back duly,car (used),918,unknown/no savings account,1 <= ... < 4 years,< 20,none,< 1 yr,car or other,30,none,rent,1,skilled employee/official,0 to 2,False,False,1,1
890,male,married/widowed,no checking account,27,all credits at this bank paid back duly,retraining,2442,unknown/no savings account,.. >= 7 years,< 20,none,>= 7 yrs,building society savings agreement/life insurance,43,stores,rent,>= 6,management/self-employed/highly qualified employee/officer,3 or more,True,False,0,1
151,male,married/widowed,... >= 200 DM,10,no credits taken/all credits paid back duly,furniture/equipment,1924,unknown/no savings account,1 <= ... < 4 years,>= 35,none,>= 7 yrs,car or other,38,none,rent,1,skilled employee/official,0 to 2,True,True,0,1
138,male,married/widowed,... < 0 DM,15,all credits at this bank paid back duly,furniture/equipment,2728,.. >= 1000 DM,4 <= ... < 7 years,< 20,guarantor,1 <= ... < 4 yrs,unknown/no property,35,bank,rent,4-5,skilled employee/official,0 to 2,True,False,0,1
832,male,married/widowed,no checking account,45,delay in paying off in the past,retraining,11816,unknown/no savings account,.. >= 7 years,25 <= ... < 35,none,>= 7 yrs,building society savings agreement/life insurance,29,none,for free,2-3,skilled employee/official,0 to 2,False,False,1,1
688,male,married/widowed,... >= 200 DM,9,no credits taken/all credits paid back duly,furniture/equipment,2753,... < 100 DM,.. >= 7 years,20 <= ... < 25,co-applicant,>= 7 yrs,building society savings agreement/life insurance,35,none,rent,1,skilled employee/official,0 to 2,True,False,0,1
725,female/male,female (non-single) or male (single),... >= 200 DM,6,all credits at this bank paid back duly,others,250,500 <= ... < 1000 DM,1 <= ... < 4 years,25 <= ... < 35,none,1 <= ... < 4 yrs,unknown/no property,41,bank,rent,2-3,unskilled - resident,0 to 2,False,False,0,1
301,female/male,female (non-single) or male (single),... < 0 DM,36,delay in paying off in the past,furniture/equipment,3804,unknown/no savings account,1 <= ... < 4 years,< 20,none,< 1 yr,building society savings agreement/life insurance,42,none,rent,1,skilled employee/official,0 to 2,True,False,1,1
109,female,single,... < 0 DM,14,no credits taken/all credits paid back duly,retraining,1410,100 <= ... < 500 DM,.. >= 7 years,>= 35,none,1 <= ... < 4 yrs,unknown/no property,35,none,rent,1,skilled employee/official,0 to 2,True,False,0,1
